
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_G

1: 365.0
.1: 1.0
.2: 1.0
.3: 4.0
.4: 4.0
.5: 9.0
.6: 76.0
.7: 76.0
.8: 79.0
.9: 83.0
