108	ARCO_108	38	16	5.05	148.0	PIPELINE
111	ARCO_111	19	18	90.0	49.16	PIPELINE
112	ARCO_112	20	18	90.0	12.11	PIPELINE
113	ARCO_113	20	19	90.0	12.11	PIPELINE
114	ARCO_114	26	19	86.0	12.11	PIPELINE
115	ARCO_115	21	20	60.0	17.0	PIPELINE
116	ARCO_116	22	20	86.0	12.11	PIPELINE
117	ARCO_117	23	22	86.0	10.83	PIPELINE
118	ARCO_118	24	23	46.0	12.11	PIPELINE
119	ARCO_119	25	23	100.0	49.16	PIPELINE
120	ARCO_120	29	25	0.01	15.05	PIPELINE
121	ARCO_121	30	25	70.0	15.05	PIPELINE
122	ARCO_122	27	26	50.0	49.16	PIPELINE
123	ARCO_123	30	27	195.0	49.16	PIPELINE
124	ARCO_124	29	28	70.0	15.05	PIPELINE
125	ARCO_125	30	28	0.01	10.47	PIPELINE
126	ARCO_126	31	28	60.0	10.47	PIPELINE
127	ARCO_127	31	30	60.0	12.0	PIPELINE
128	ARCO_128	36	31	60.0	15.05	PIPELINE
129	ARCO_129	35	32	200.0	12.83	PIPELINE
130	ARCO_130	44	34	24.0	15.05	PIPELINE
131	ARCO_131	45	34	24.0	15.05	PIPELINE
132	ARCO_132	48	37	106.0	11.34	PIPELINE
133	ARCO_133	39	38	32.0	15.05	PIPELINE
134	ARCO_134	40	38	63.0	12.11	PIPELINE
135	ARCO_135	43	42	1.0	15.05	PIPELINE
136	ARCO_136	44	42	23.0	17.13	PIPELINE
137	ARCO_137	45	42	23.0	12.0	PIPELINE
138	ARCO_138	45	44	0.01	49.16	PIPELINE
139	ARCO_139	52	47	40.0	10.83	PIPELINE
140	ARCO_140	52	51	0.01	49.16	PIPELINE
